z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,AR
0.020912109374999995,0.9896226719356095,0.0,427.32138904841014,0.9833469911237939,0.1081961107368347,1.4610596499373505e-05,4.6859929274694925e-06,0.14439928359822116,3.836891453191196e-05,0.009667051082384344,0.00017589205539422832,4.9954963818383885e-05,0.7374540420593885
0.020915039062499995,1.0035751448069672,0.0,433.62180849644994,0.969675714516963,0.10731726525347172,1.769253018650351e-05,5.297010428671e-06,0.14428318378867402,4.3993585524086644e-05,0.010214022169430468,0.0001836478139660693,5.138878097093269e-05,0.7378835090673477
0.020917968749999995,1.0180638173896333,0.0,440.1599219266683,0.9558756546572933,0.10643013864807012,2.1328976030059813e-05,5.9874824743603105e-06,0.14415587117666914,5.028274769414196e-05,0.010784170538928826,0.00019106314827620641,5.2743963359289944e-05,0.738308413318498
0.020923828124999995,1.0486332538503136,0.0,453.94276097972823,0.9280102197073108,0.10463257388933839,3.048489722626935e-05,7.631480156089019e-06,0.14386714056248032,6.494950689629542e-05,0.011993744647008567,0.0002046284253498898,5.519506450968579e-05,0.7391436515270345
0.020929687499999995,1.0812628669458122,0.0,468.6416639317229,0.9000053437528762,0.1028060345914446,4.282969865163572e-05,9.697084268118398e-06,0.1435324869515541,8.256873541899436e-05,0.013294902669153303,0.0002160303074100546,5.726131827788108e-05,0.7399581886438213
0.020935546874999995,1.1158944828909692,0.0,484.2321881066026,0.8720738227066419,0.10095312591708054,5.9124591260011774e-05,1.2269904145096629e-05,0.14315081388553938,0.00010319259107466547,0.014687330639992191,0.00022487994737544384,5.8909581296120866e-05,0.7407503529422367
0.020941406249999996,1.152440261223479,0.0,500.6768020453878,0.8444189590980402,0.09907645586010641,8.019285311071134e-05,1.5445894490845958e-05,0.14272148313639704,0.00012668559229370076,0.016169802167361955,0.00023096879686964337,6.012248503457015e-05,0.7415188432143351
0.020947265624999996,1.190785736949876,0.0,517.9261639764849,0.817227183118528,0.09717860889742282,0.00010688883782267102,1.933280002157932e-05,0.14224431160632228,0.000152717552883547,0.01774025179918661,0.0002342801487389537,6.089639941087094e-05,0.7422627119581907
0.020953124999999996,1.2307943002140969,0.0,535.9210335296992,0.7906622322637218,0.09526212422328202,0.0001400620092842489,2.405274773541498e-05,0.14171954856388327,0.00018078567966490165,0.01939588411861844,0.0002349708226731231,6.123871062675099e-05,0.7429813331242319
0.020958984374999996,1.272312588598295,0.0,554.594590669838,0.7648613221005313,0.09332947710727425,0.00018052015067924617,2.9746109995116686e-05,0.14114783026324554,0.0002102634446177548,0.021133307292091095,0.0002333308925590626,6.116514330256652e-05,0.7436743595962354
0.020964843749999997,1.3151762046171336,0.0,573.8749074248724,0.739933421064362,0.0913830618397568,0.00022899610183301633,3.65764786522816e-05,0.14053011232480384,0.00024046736591557707,0.02294867943422638,0.00022973297804561345,6.069757281415617e-05,0.7443416759039524
0.020970703124999997,1.3592152275720164,0.0,593.6873414417706,0.7159594471522402,0.08942517530999067,0.0002861215730904064,4.473630409274265e-05,0.1398675844490574,0.0002707292579859357,0.02483785729618445,0.00022458231829965462,5.986245018032609e-05,0.7449833510411185
0.020976562499999997,1.4042591237920778,0.0,613.9566781261585,0.6929939995899108,0.08745800122334671,0.00035241006679832777,5.445253403136919e-05,0.1391615755219667,0.00030046174013785744,0.02679653845714853,0.00021827566448038207,5.8689733220198275e-05,0.7455995950588699
0.020982421874999997,1.4501408207838091,0.0,634.6089177816636,0.6710681475327106,0.08548359592061666,0.000428249202910488,6.599147718699058e-05,0.13841345882034492,0.00032920812142139713,0.028820389812543937,0.0002111727921747406,5.721212783256037e-05,0.7461907217249684
0.020988281249999997,1.496699857726776,0.0,655.5726678207454,0.6501928063221859,0.08350387738810058,0.0005139012656280038,7.966212483389846e-05,0.13762456659219158,0.00035667252806908996,0.030905156616118784,0.00020358073461091745,5.546446177552856e-05,0.7467571182886715
0.020994140624999998,1.5437846351691886,0.0,676.7801481794855,0.6303623053866291,0.08152061919224365,0.00060950985318455,9.581727148404638e-05,0.13679612127638965,0.0003827305919480542,0.03304674781372854,0.0001957484921437801,5.348308117187097e-05,0.747299222427706
0.020999999999999998,1.5912538562243879,0.0,698.1678485027376,0.6115578539702494,0.0795354507673274,0.0007151101856171722,0.00011485195648039997,0.1359291878696223,0.0004074240836686543,0.03524129505007831,0.00018786904674353107,5.13052283237764e-05,0.7478175058121386
0.021005859374999998,1.6389772861247685,0.0,719.6768910204826,0.5937507136351132,0.07754986487985635,0.000830640794887954,0.00013719897225170476,0.13502464919600493,0.000430944257915452,0.037485184516709215,0.0001800856193309875,4.8968404652746325e-05,0.7483124633583905
0.02101171875,1.6868359665140902,0.0,741.2531575217541,0.5769049738302057,0.07556523237136953,0.0009559547975975319,0.0001633214265005818,0.1340832035522996,0.00045360867336711926,0.0397750625834287,0.0001724997574691218,4.6509742074682815e-05,0.7487846070958931
0.021017578125,1.7347220147901063,0.0,762.8472364936018,0.5609798926789387,0.07358282359775568,0.0010908295454073456,0.00019370258196250124,0.13310538255967275,0.0004758353990088419,0.042107817717868395,0.0001651796317967109,4.3965407843990666e-05,0.7492344635586838
0.0210234375,1.782538124424521,0.0,784.4142404549576,0.5459318098108641,0.07160383543094202,0.0012349740239403371,0.00022883340842187833,0.1320915860205286,0.0004981173475922344,0.044480542402034896,0.0001581676166437749,4.1370061484324236e-05,0.749662573688412
0.021029296875,1.8301968643886717,0.0,805.9135359041086,0.5317156650651844,0.06962942230711622,0.0013880338494405592,0.0002691984502090844,0.13104213003174095,0.0005209983551209239,0.046890479536118,0.00015148674161874644,3.875637465031991e-05,0.7500694943539852
