z (m),u (m/s),V (1/s),T (K),rho (kg/m3),H2,H,O,O2,OH,H2O,HO2,H2O2,C,CH,CH2,CH2(S),CH3,CH4,CO,CO2,HCO,CH2O,CH2OH,CH3O,CH3OH,C2H,C2H2,C2H3,C2H4,C2H5,C2H6,HCCO,CH2CO,HCCOH,N,NH,NH2,NH3,NNH,NO,NO2,N2O,HNO,CN,HCN,H2CN,HCNN,HCNO,HOCN,HNCO,NCO,N2,AR,C3H7,C3H8,CH2CHO,CH3CHO
0.003875,0.06769991451176022,51.623024419876145,477.23709278222157,0.7285786600674831,0.02945272111929472,5.4314083254870873e-11,2.3812176119621598e-12,3.1044160863546506e-05,1.6800325950867327e-11,0.04017782413934301,1.004703222877647e-07,4.0623642043312486e-08,-4.106369381887671e-23,1.4902991652651966e-20,2.0588526132931565e-12,4.1291793189395615e-18,8.554738941574054e-08,0.0037734577395205607,0.01232995646003091,0.010657622346181716,8.132646322402106e-10,7.869517994058539e-06,2.1106715688597034e-12,2.2325088117458363e-09,1.372447201484355e-06,4.434860135778154e-18,0.006804343747634519,1.6660184688481491e-09,0.008051475868386454,1.0311330391822506e-05,0.7544912910872945,2.3522423245093664e-11,2.3247892617814898e-05,3.485937919259881e-07,2.7127067095406686e-16,8.371209786504985e-13,6.411498466171517e-12,5.91784987446058e-06,1.1698375112374545e-19,1.8089904868135186e-05,3.0384741202298025e-06,5.1451456386028716e-08,5.779673422625748e-11,7.418241947004206e-19,1.89871913428805e-05,8.124424427966553e-11,9.25597541744481e-18,4.984486509404087e-07,7.317604668592189e-10,2.144502940740364e-06,2.1363332301291014e-15,0.13235157972190228,0.0017152527162195368,7.4840788105945e-07,7.038829874588726e-05,4.141665333737031e-08,1.4283241135292814e-07
0.004,0.062182704955322646,55.99599431947338,534.2944656159121,0.6450110132609252,0.03229464409670995,1.612100221061248e-10,4.2133277697393746e-12,3.959291041536572e-05,3.153236386102542e-11,0.0500146566754373,1.9436366489690588e-07,5.1742186527738366e-08,5.271446534270578e-24,7.986450422280375e-20,4.097622738121974e-12,2.842851897275672e-17,1.4734378584848033e-07,0.0047331314625316985,0.015719780969755744,0.014343909237261351,1.3730555748978432e-09,1.0533581833711458e-05,4.232376302738613e-12,3.0129285791023694e-09,1.846425710778785e-06,4.26882323168907e-17,0.00901809030889492,4.467401183479915e-09,0.010753532874630047,1.4338447706525035e-05,0.6911984243962874,4.784848956271923e-11,3.2359979265920306e-05,4.852167763957078e-07,1.0774130599692584e-15,2.669807395955607e-12,8.45366300772872e-12,7.424961922405383e-06,9.652394897595994e-19,2.3195596325075207e-05,3.877210809814718e-06,6.927978488319991e-08,7.320629849460635e-11,4.3295629951332975e-18,2.5574248334256912e-05,8.996114565550675e-11,2.9183992692713606e-17,6.704449186195641e-07,9.84374033153676e-10,2.8847974804219114e-06,6.495369977657693e-15,0.16945478479795426,0.0022025783166519227,9.480618330656303e-07,0.0001020061861010376,5.703729501546767e-08,1.9876254263754108e-07
0.0040625,0.05871015539972206,58.24356971002959,565.062156272121,0.6070717342989882,0.03370705040406252,2.75394004325483e-10,5.615790807366714e-12,4.423952555052853e-05,4.238083302370272e-11,0.05516973600907039,2.6603854685675904e-07,5.768252536679464e-08,4.9595621224003047e-23,1.835107076829702e-19,5.778468497745432e-12,7.234243538285816e-17,1.944912126554323e-07,0.0052453489883898825,0.017551213326691153,0.016391773854755952,1.6208579908753768e-09,1.1982676383577268e-05,6.142691350860759e-12,3.426446439884141e-09,2.104465539469976e-06,1.2126528976287382e-16,0.010236721798253703,7.227814331750625e-09,0.012244151020809361,1.6731323258580368e-05,0.6570361215715365,6.699411250324144e-11,3.7496691425313225e-05,5.622302646159727e-07,2.495646132802996e-15,4.910144046760573e-12,1.0012447147346305e-11,8.220950008329618e-06,2.6119682861509524e-18,2.599617030898161e-05,4.288956084612015e-06,7.91739808014098e-08,8.220421776309266e-11,9.869299031246583e-18,2.9202242364867314e-05,8.630775151083832e-11,5.226046561486005e-17,7.658479873113351e-07,1.124546596269653e-09,3.295569032075298e-06,1.1172610272038948e-14,0.18964446278783575,0.002466306327093835,1.0041881418037882e-06,0.00012031719346143945,6.467928686441505e-08,2.2983071711003847e-07
0.004125,0.05468616167316316,60.4997573888923,597.1476460248136,0.5717955860897488,0.03508229266527073,4.5846238466793823e-10,7.251375898764821e-12,4.9019942591628285e-05,5.543535005808323e-11,0.060337514695795534,3.5556995444197956e-07,6.369404958554708e-08,2.31757408789329e-22,3.994843934266237e-19,7.910651733701157e-12,1.7350972076980783e-16,2.5589625247970924e-07,0.00576540925906183,0.019424701248534564,0.018521097310574677,1.7692249487329691e-09,1.346466863279082e-05,8.962207269603022e-12,3.79625436243892e-09,2.3679117380043692e-06,3.1858540324137577e-16,0.01149680377309929,1.1203862632431331e-08,0.013786912112441624,1.93531299537784e-05,0.6220957959522206,9.112216699828177e-11,4.28801573353157e-05,6.429396154649636e-07,5.406748740009253e-15,8.693956497690394e-12,1.2082494432401728e-11,9.022992654893169e-06,6.648187797440285e-18,2.8896266926285138e-05,4.6731945874171505e-06,8.945090770683428e-08,9.233008211057654e-11,2.0730503409830305e-17,3.29497195905824e-05,7.656944692743091e-11,8.817152650249762e-17,8.649248776619636e-07,1.270163303041271e-09,3.722284406930586e-06,1.8179286838918194e-14,0.21040338575376347,0.0027362769914436843,1.0117984308417202e-06,0.00013982353525786477,7.143010536984165e-08,2.618715759483579e-07
0.0041875,0.0500645677277554,62.73600058563408,630.3710122902527,0.5391665519809544,0.036418354089045604,7.462572262598024e-10,9.151831139012755e-12,5.39005237444275e-05,7.068589865886508e-11,0.0654738550366204,4.6405104936815786e-07,6.969126298412523e-08,1.0442922002140445e-21,8.30117836927882e-19,1.056164387215525e-11,3.927143295679631e-16,3.367659735879815e-07,0.006288786225099846,0.021322604897108657,0.02070731202346592,1.7893338893586726e-09,1.495842373070066e-05,1.3290796183961045e-11,4.067311398264158e-09,2.6320561867197682e-06,7.762468661203612e-16,0.012784417718604826,1.6763725029653696e-08,0.015364127478408181,2.221461619119837e-05,0.5866976319724537,1.2126156626096893e-10,4.8440173368987444e-05,7.26291807839049e-07,1.1410634673345127e-14,1.5037757721821146e-11,1.4936048751830332e-11,9.823980513544373e-06,1.5987344627771405e-17,3.187734635290997e-05,5.015238045627975e-06,9.998703877346198e-08,1.0434198972524553e-10,4.059685758774588e-17,3.677107383343133e-05,6.201139423102581e-11,1.4166107921587943e-16,9.665136642699773e-07,1.4195310962333614e-09,4.159976735312185e-06,2.822569592982753e-14,0.2315390180568875,0.003009850890352581,9.550356935223323e-07,0.0001602339921752528,7.652409629989196e-08,2.9414300956272207e-07
0.00425,0.04481136690432157,64.92646808535598,664.5668187521865,0.5090943174466979,0.03771402118999478,1.1949244634311252e-09,1.138565435946605e-11,5.885271608243209e-05,8.807409332778405e-11,0.07054184572677259,5.910957048715423e-07,7.558566412906337e-08,4.6069284317450775e-21,1.6661540662012562e-18,1.3834476590068394e-11,8.427702567369907e-16,4.4220772226738097e-07,0.006811422328169456,0.023228694395858465,0.02292695571939076,1.7066957439965535e-09,1.644490891640514e-05,2.0154506059064877e-11,4.184852820537506e-09,2.892300779858692e-06,1.761623071993452e-15,0.014086475833997802,2.4393008541164587e-08,0.01695918664415373,2.533146623648557e-05,0.551137789685443,1.594193702542159e-10,5.410895275603745e-05,8.112717283461479e-07,2.363771988499145e-14,2.5490237561544863e-11,1.9007806784074684e-11,1.0617830307933804e-05,3.660943529225977e-17,3.4922990795497054e-05,5.300912099649545e-06,1.1066293687905964e-07,1.1953453955189655e-10,7.462762154072986e-17,4.0624296043391965e-05,4.58317024381244e-11,2.1769511408892692e-16,1.06950893565191e-06,1.571040846870087e-09,4.603922552937763e-06,4.216771384273622e-14,0.25286969390000236,0.003284606825430451,8.257979387602268e-07,0.0001812428220456165,7.911050654372073e-08,3.2583770917562504e-07
0.0043125,0.0389033820886334,67.0487187685148,699.5810131722109,0.48144501211401564,0.038968726675828624,1.9039682852576023e-09,1.4103477969209636e-11,6.38535260950696e-05,1.0771100284143803e-10,0.07551145696310323,7.342767816187609e-07,8.128422312704147e-08,1.9821380644751127e-20,3.2944809637261546e-18,1.7925361686410112e-11,1.7293164515597043e-15,5.736469686942704e-07,0.007329755396200146,0.02512839436365726,0.025158302196397097,1.5788185873801764e-09,1.7907680022944398e-05,3.124355004341453e-11,4.106479641609662e-09,3.144427331065912e-06,3.7518841054823125e-15,0.015391022661949277,3.4849022819337766e-08,0.018556940439865895,2.8722944439427584e-05,0.5156840162458904,2.095189318591475e-10,5.9823233809520315e-05,8.96936766851041e-07,4.813547468952886e-14,4.236326014881577e-11,2.500125601885374e-11,1.1399466499529187e-05,8.092167337277577e-17,3.801883770266634e-05,5.517174640702128e-06,1.2136563504604741e-07,1.3996049422304332e-10,1.3018340958470603e-16,4.4471896971183447e-05,3.177080978177872e-11,3.210490267837996e-16,1.1728909868309287e-06,1.7232107528093193e-09,5.049767428446296e-06,6.134837136914319e-14,0.2742278593423008,0.0035583787522738834,6.359916542627416e-07,0.00020254233157063287,7.83777602144021e-08,3.561240315640285e-07
0.004375,0.032327074261902566,69.08401614050251,735.268340278413,0.4560622721432575,0.040182416033087,3.0679109079982876e-09,1.7593456066916368e-11,6.888571766909188e-05,1.3025714309330288e-10,0.08035894968186102,8.887593208809202e-07,8.668595786060945e-08,8.288384283284552e-20,6.5900664940961206e-18,2.3216955952707246e-11,3.4330143510001503e-15,7.263580898696918e-07,0.007840716798289946,0.0270089044289027,0.02738176823145875,1.4603673402770618e-09,1.933275511678945e-05,4.916609871884813e-11,3.82911897303084e-09,3.3849059924245644e-06,7.588820642498084e-15,0.016687415048816885,4.943274799099213e-08,0.02014391909649715,3.240804672006881e-05,0.48057335505199106,2.789981273184476e-10,6.552540079003619e-05,9.824399668032852e-07,9.638449723382324e-14,6.899975089589838e-11,3.4065796126777424e-11,1.216475888615417e-05,1.7584526954332404e-16,4.115224664889529e-05,5.652764205824829e-06,1.319896855471752e-07,1.6867464096571818e-10,2.1928643120368123e-16,4.8281349257535904e-05,2.1996501824811985e-11,4.560466698208123e-16,1.2757437265070425e-06,1.8747141890715872e-09,5.493604769635096e-06,8.83889324164582e-14,0.29546212970864494,0.0038292730108013453,4.2619488124870995e-07,0.00022383470122436553,7.38156060345315e-08,3.8421310928011054e-07
0.0044375000000000005,0.025077486008319626,71.0173631258919,771.4905650923379,0.4327810258147076,0.04135543376188035,5.086832104364622e-09,2.2351180241599067e-11,7.393782706078219e-05,1.5735477693040422e-10,0.08506615855462378,1.0473522459407364e-06,9.167585094161351e-08,3.3607515466424074e-19,1.3716955695916615e-17,3.0397525373403816e-11,6.6816230105810956e-15,8.968659842873661e-07,0.008341709905228516,0.02885922164484255,0.029580131231061336,1.3861329141152293e-09,2.0707821063879992e-05,7.762430018083419e-11,3.420749663662263e-09,3.611158041608721e-06,1.482251142406453e-14,0.017966402743309545,7.040921485624435e-08,0.021708425588790024,3.640020922819263e-05,0.4460115134990191,3.8154288171445307e-10,7.116369760354035e-05,1.0670439573870077e-06,1.8973341029892335e-13,1.100582789381113e-10,4.808584437152434e-11,1.291043408342381e-05,3.830602154441429e-16,4.431176567115591e-05,5.698858874601684e-06,1.4243704435528365e-07,2.0997206400590961e-10,3.663957237355508e-16,5.2025161512116775e-05,1.6385764672885474e-11,6.272129429502525e-16,1.3772629209246359e-06,2.0243950420268998e-09,5.932015220339929e-06,1.2878136309996867e-13,0.3164383589897246,0.004095670223884616,2.5061885163882665e-07,0.00024484319998925694,6.562068112599747e-08,4.094503112850594e-07
0.0045000000000000005,0.01715729186125961,72.83733142635259,808.1155254903318,0.4114361536742835,0.0424884236664384,8.811558526785221e-09,2.916786543481016e-11,7.900409400847691e-05,1.9209538593574414e-10,0.08961973302569268,1.2010291498551026e-06,9.611551720504553e-08,1.3198897293796948e-18,3.040745004847201e-17,4.057786048089748e-11,1.2892689016045635e-14,1.101325200546837e-06,0.008830575533035125,0.03067008934549204,0.03173859586542055,1.3731204118085312e-09,2.202109869877862e-05,1.2139616749474544e-10,3.0064599645369767e-09,3.821596311131793e-06,2.859529477923324e-14,0.01922013276858876,1.0159373707088245e-07,0.023240522748235296,4.0703979421646094e-05,0.4121734989815817,5.419043399997341e-10,7.669187072936325e-05,1.150128780157123e-06,3.6694178373243603e-13,1.7177647619610972e-10,7.014173839209726e-11,1.3633974040590612e-05,8.510334654861767e-16,4.7486477080081365e-05,5.649708113510482e-06,1.5261600544590023e-07,2.6957252743843467e-10,6.354151551976922e-16,5.568069085226915e-05,1.3665733087013333e-11,8.416058648650437e-16,1.4767566065689246e-06,2.171274407074065e-09,6.362074668623572e-06,1.9406181698274637e-13,0.33703991633260855,0.004356215927369195,1.3805975646781714e-07,0.0002653193617732206,5.503397300285912e-08,4.314077971876663e-07
